"REPORT_NUMBER","SUPPLEMENTAL_NUMBER","IYEAR","LOCAL_DATETIME","OPERATOR_ID","NAME","PIPE_FAC_NAME","ON_OFF_SHORE","ONSHORE_STATE_ABBREVIATION","ONSHORE_CITY_NAME","ONSHORE_COUNTY_NAME","LOCATION_LATITUDE","LOCATION_LONGITUDE","LOCATION_TYPE","INCIDENT_AREA_TYPE","INCIDENT_AREA_SUBTYPE","DEPTH_OF_COVER","SYSTEM_PART_INVOLVED","COULD_BE_HCA","COMMODITY_REACHED_HCA","CAUSE","CAUSE_DETAILS","COMMODITY_RELEASED_TYPE","COMMODITY_SUBTYPE","COMMODITY_DETAILS","UNINTENTIONAL_RELEASE_BBLS","INTENTIONAL_RELEASE_BBLS","RECOVERED_BBLS","PIPE_DIAMETER","PIPE_WALL_THICKNESS","PIPE_SMYS","PIPE_SPECIFICATION","INSTALLATION_YEAR","MATERIAL_INVOLVED","MATERIAL_DETAILS","RELEASE_TYPE","IGNITE_IND","EXPLODE_IND","SHUTDOWN_DUE_ACCIDENT_IND","SHUTDOWN_DATETIME","STILL_SHUTDOWN_IND","RESTART_DATETIME","NUM_PUB_EVACUATED","INJURY_IND","NUM_EMP_INJURIES","NUM_CONTR_INJURIES","NUM_ER_INJURIES","NUM_WORKER_INJURIES","NUM_GP_INJURIES","INJURE","FATALITY_IND","NUM_EMP_FATALITIES","NUM_CONTR_FATALITIES","NUM_ER_FATALITIES","NUM_WORKER_FATALITIES","NUM_GP_FATALITIES","FATAL","WILDLIFE_IMPACT_IND","FISH_AQUATIC_IMPACT_IND","BIRDS_IMPACT_IND","TERRESTRIAL_IMPACT_IND","SOIL_CONTAMINATION","LONG_TERM_ASSESSMENT","REMEDIATION_IND","SURFACE_WATER_REMED_IND","GROUNDWATER_REMED_IND","SOIL_REMED_IND","VEGETATION_REMED_IND","WILDLIFE_REMED_IND","WATER_CONTAM_IND","OCEAN_SEAWATER_IND","SURFACE_CONTAM_IND","GROUNDWATER_CONTAM_IND","DRINKING_WATER_CONTAM_IND","PRIVATE_WELL_CONTAM_IND","PUBLIC_WATER_CONTAM_IND","EST_COST_OPER_PAID","EST_COST_GAS_RELEASED","EST_COST_PROP_DAMAGE","EST_COST_EMERGENCY","EST_COST_ENVIRONMENTAL","EST_COST_OTHER","INCIDENT_IDENTIFIED_DATETIME","ON_SITE_DATETIME","shutdownDTTM","restartDTTM","incidentDTTM","onsiteDTTM","EVACUATION","standardized_shudownDTTM","standardized_restartDTTM","shutdown_duration","response_delay","TOTAL_COST"
20150071,21327,2015,"1/26/2015 9:38",31618,"ENTERPRISE PRODUCTS OPERATING LLC","ATEX-1","ONSHORE","WV","COLLIERS","BROOKE",40.366817,-80.584594,"PIPELINE RIGHT-OF-WAY","UNDERGROUND","UNDER SOIL","168","                                                ONSHORE PIPELINE, INCLUDING VALVE SITES                                                ","NO","NO","MATERIAL FAILURE OF PIPE OR WELD","DESIGN-, CONSTRUCTION-, INSTALLATION-, OR FABRICATION-RELATED","HVL OR OTHER FLAMMABLE OR TOXIC FLUID WHICH IS A GAS AT AMBIENT CONDITIONS","OTHER HVL","ETHANE",30565,0,0,20,"0.312","70000","API-5L X70","2013","CARBON STEEL","CARBON STEEL","RUPTURE","YES","NO","YES","1/26/2015 9:39","NO","2/14/2015 13:30",1,"YES",1,0,1,0,1,3,"YES",1,2,1,0,0,4,"NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES",NA,"NO",95000,194000,1821591,0,0,4800000,"1/26/2015 9:39","1/26/2015 11:00",1422236340,1423891800,1422236340,1422241200,"YES",1422236340,1423891800,459.85,1.35,6910591
20150054,30027,2014,"12/14/2014 14:00",31056,"ASIG - HONOLULU","SAND ISLAND TERMINAL FACILITY","ONSHORE","HI","HONOLULU","HONOLULU",21.31774,-157.89055,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY","TANK, INCLUDING ATTACHED APPURTENANCES","TANK, INCLUDING ATTACHED APPURTENANCES","0","                                                ONSHORE BREAKOUT TANK OR STORAGE VESSEL, INCLUDING ATTACHED APPURTENANCES                                                ","YES","YES","CORROSION FAILURE","EXTERNAL CORROSION","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS","DIESEL, FUEL OIL, KEROSENE, JET FUEL","DIESEL, FUEL OIL, KEROSENE, JET FUEL",1300,0,820,-1,"-1","-1","MISSING","1973","CARBON STEEL","CARBON STEEL","LEAK","YES","NO","NO",NA,"NO",NA,0,"YES",0,1,0,2,0,3,"YES",1,0,0,2,2,5,"NO","YES","NO","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES",NA,"NO",0,166000,0,400000,2250000,0,"12/14/2014 14:00","1/21/2015 12:35",NA,NA,1418536800,1421814900,"NO",0,0,0,910.583333333333,2816000
20130289,20378,2013,"7/26/2013 8:00",31189,"BP PIPELINE (NORTH AMERICA) INC.","BLAKE PUMP STATION","ONSHORE","OK","COPAN","OSAGE",36.927591,-96.052414,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY","UNDERGROUND","UNDER SOIL","30","ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING","YES","NO","EQUIPMENT FAILURE","MALFUNCTION OF CONTROL/RELIEF EQUIPMENT","CRUDE OIL","CRUDE OIL","CRUDE OIL",535,0,535,-1,"-1","-1","MISSING","1956","CARBON STEEL","CARBON STEEL","LEAK","YES","NO","YES","7/26/2013 8:04","NO","7/28/2013 16:37",0,"YES",1,1,0,0,0,2,"YES",2,0,3,0,0,5,"YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","YES","NO","NO",NA,"YES",14000,56000,10000,616000,1300000,0,"7/26/2013 8:00","7/26/2013 8:01",1374797040,1375000620,1374796800,1374796860,"NO",1374797040,1375000620,56.55,0.0166666666666667,1996000
20130136,19573,2013,"3/18/2013 15:26",2731,"CHEVRON PIPE LINE CO","SALT LAKE PRODUCTS SYSTEM","ONSHORE","UT","WILLARD","BOX ELDER",41.419421,-112.052591,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY","UNDERGROUND","UNDER SOIL","0","                                                ONSHORE PIPELINE, INCLUDING VALVE SITES                                                ","YES","YES","CORROSION FAILURE","EXTERNAL CORROSION","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS","DIESEL, FUEL OIL, KEROSENE, JET FUEL","DIESEL, FUEL OIL, KEROSENE, JET FUEL",499,0,499,8.625,"0.25","46000","API 5L GRADE X-46","1959","CARBON STEEL","CARBON STEEL","RUPTURE","YES","NO","NO","3/18/2013 15:30","NO","3/30/2013 13:23",0,"YES",1,0,0,0,0,1,"YES",4,2,0,0,0,6,"YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO",NA,"YES",326665,62782,545700,2802660,18036789,45088,"3/18/2013 19:17","3/18/2013 19:17",1363591800,1364620980,1363605420,1363605420,"NO",1363591800,1364620980,285.883333333333,0,21819684
20130084,18090,2013,"2/5/13 15:00",300,"PLAINS PIPELINE, L.P.","HEIDELBERG PIPELINE","ONSHORE","MS","BAY SPRINGS","JASPER",31.96551,-89.24499,"PIPELINE RIGHT-OF-WAY","UNDERGROUND","UNDER SOIL","36","ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING","YES","YES","CORROSION FAILURE","INTERNAL CORROSION","CRUDE OIL","CRUDE OIL","CRUDE OIL",122,0,122,8,"0.219","35000","GRADE B","UNKNOWN","CARBON STEEL","CARBON STEEL","LEAK","YES","NO","NO","2/5/13 15:00","YES",NA,0,"NO",0,0,0,0,0,0,"YES",2,1,1,1,0,5,"NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO",NA,"YES",0,3500,150000,4924000,123653,0,"2/5/13 15:00","2/5/13 15:45",1360047600,NA,1360047600,1360050300,"NO",1360047600,0,NA,0.75,5201153
20120071,20580,2012,"2/14/2012 16:55",22610,"MAGELLAN PIPELINE COMPANY, LP","ROSEMOUNT PUMP STATION","ONSHORE","MN","APPLE VALLEY","DAKOTA",44.73486,-93.19663,"TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY","TANK, INCLUDING ATTACHED APPURTENANCES","TANK, INCLUDING ATTACHED APPURTENANCES","0","ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING","YES","YES","EQUIPMENT FAILURE","NON-THREADED CONNECTION FAILURE","REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS","GASOLINE (NON-ETHANOL)","GASOLINE (NON-ETHANOL)",1477,0,1195.24,-1,"-1","-1","MISSING","1954","MATERIAL OTHER THAN CARBON STEEL","PAPER GASKET","LEAK","YES","NO","NO",NA,"NO",NA,0,"NO",0,0,0,0,0,0,"YES",1,2,0,0,0,3,"NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO",NA,"YES",0,165425,500,414000,1797701,0,"2/14/2012 16:55","2/14/2012 17:45",NA,NA,1329209700,1329212700,"NO",0,0,0,0.833333333333333,2377626
20110370,16334,2011,"9/12/11 6:16",2731,"CHEVRON PIPE LINE CO","NO NAME","OFFSHORE","OFFSHORE","OFFSHORE","OFFSHORE",29.26536,-88.77223,"OFFSHORE","OFFSHORE","OFFSHORE","0","                                                OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND                                                ","NO","NO","OTHER ACCIDENT CAUSE","MISCELLANEOUS","CRUDE OIL","CRUDE OIL","CRUDE OIL",0.09,0,0,10.625,"0.5","42000","API 5L GRADE B","1971","CARBON STEEL","CARBON STEEL","LEAK","YES","NO","NO","9/12/11 6:28","NO","9/24/2011 8:00",0,"NO",0,0,0,0,0,0,"NO",0,0,0,0,0,0,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",NA,"NO",0,10,2000000,0,0,0,"9/12/11 6:28","9/12/11 6:28",1315780080,1316822400,1315780080,1315780080,"NO",1315780080,1316822400,289.533333333333,0,2000010
20110220,15961,2011,"6/12/11 6:30",31174,"SHELL PIPELINE CO., L.P.","NO NAME","OFFSHORE","OFFSHORE","OFFSHORE","OFFSHORE",27.943,-90.998,"OFFSHORE","OFFSHORE","OFFSHORE","0","                                                OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND                                                ","NO","NO","EQUIPMENT FAILURE","NON-THREADED CONNECTION FAILURE","CRUDE OIL","CRUDE OIL","CRUDE OIL",0.02,0,0.02,-1,"-1","-1","MISSING","1997","CARBON STEEL","CARBON STEEL","LEAK","NO","YES","NO","6/12/11 12:30","NO","7/27/2011 16:15",0,"NO",0,0,0,0,0,0,"NO",0,0,0,0,0,0,"NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO",NA,"NO",0,0,1200000,150000,0,1050000,"6/12/11 6:30","6/12/11 6:31",1307853000,1311754500,1307831400,1307831460,"NO",1307853000,1311754500,1083.75,0.0166666666666667,2400000
20110155,17221,2010,"4/5/10 9:10",32483,"BRIDGER LAKE, LLC","BRIDGER LAKE","ONSHORE","WY","ROBERTSON","UINTA",41.184974,-110.410612,"ORIGINATED ON OPERATOR-CONTROLLED PROPERTY, BUT THEN FLOWED OR MIGRATED OFF THE PROPERTY","UNDERGROUND","UNDER SOIL","0","                                                ONSHORE PIPELINE, INCLUDING VALVE SITES                                                ","NO","NO","INCORRECT OPERATION","PIPELINE OR EQUIPMENT OVERPRESSURED","CRUDE OIL","CRUDE OIL","CRUDE OIL",0,0,0,6.58,"0.156","62500","GRADE B LINE PIPE","1968","CARBON STEEL","CARBON STEEL","RUPTURE","YES","YES","NO","4/5/10 9:10","YES",NA,0,"NO",0,0,0,0,0,0,"NO",0,0,0,0,0,0,"YES","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES",NA,"NO",0,0,0,0,0,4000000,"4/5/10 9:10","4/6/10 8:00",1270429800,NA,1270429800,1270512000,"NO",1270429800,0,NA,22.8333333333333,4e+06
20100045,15592,2010,"3/25/2010 17:36",31563,"WHITECAP PIPE LINE COMPANY, L.L.C.","NO NAME","OFFSHORE","OFFSHORE","OFFSHORE","OFFSHORE",28.68555,-91.04555,"OFFSHORE","OFFSHORE","OFFSHORE","0","                                                OFFSHORE PIPELINE, INCLUDING RISER AND RISER BEND                                                ","NO","NO","OTHER OUTSIDE FORCE DAMAGE","OTHER OUTSIDE FORCE DAMAGE","CRUDE OIL","CRUDE OIL","CRUDE OIL",5.7,0,0,18,"0.406","52000","API 5L X52","1968","CARBON STEEL","CARBON STEEL","LEAK","NO","YES","NO","3/26/2010 13:20","NO","5/1/10 14:30",0,"NO",0,0,0,0,0,0,"NO",0,0,0,0,0,0,"YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","YES","NO","YES",NA,"YES",0,1260,2200000,0,0,0,"3/25/2010 17:36","3/25/2010 17:36",1269580800,1272695400,1269509760,1269509760,"NO",1269580800,1272695400,865.166666666667,0,2201260
